Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
88,56,1,1,1,562,1,7,710,1.949e-11,0.0753326,0.048138999999999994,0.0014,0.0014,0.0014,0.4781378,0.0014,1.74e-05,1.283e-02,2.258e-09
1,1,1,621,28,57,1,7,710,1.949e-11,0.0014,0.0014,0.0014,0.528276,0.0243446,0.0489888,0.0014,1.74e-05,1.360e-02,2.276e-09
1,1,247,394,1,1,65,7,710,1.949e-11,0.0014,0.0014,0.21045080000000002,0.3353714,0.0014,0.0014,0.0557872,1.74e-05,1.486e-02,2.133e-09
1,1,21,1,518,167,1,7,710,1.949e-11,0.0014,0.0014,0.018396,0.0014,0.4407466,0.1424668,0.0014,1.74e-05,1.445e-02,2.234e-09
391,1,33,282,1,1,1,7,710,1.949e-11,0.332822,0.0014,0.0285936,0.2401938,0.0014,0.0014,0.0014,1.74e-05,1.481e-02,2.080e-09
544,1,1,1,112,50,1,7,710,1.949e-11,0.46284139999999996,0.0014,0.0014,0.0014,0.0957278,0.0430402,0.0014,1.74e-05,1.465e-02,2.135e-09
1,1,211,1,469,1,26,7,710,1.949e-11,0.0014,0.0014,0.17985800000000002,0.0014,0.3991064,0.0014,0.022645,1.74e-05,1.388e-02,2.183e-09
5,1,1,237,1,464,1,7,710,1.949e-11,0.0047992,0.0014,0.0014,0.2019528,0.0014,0.39485739999999997,0.0014,1.74e-05,1.369e-02,2.225e-09
3,1,1,20,1,683,1,7,710,1.949e-11,0.0030995999999999997,0.0014,0.0014,0.017546199999999998,0.0014,0.5809635999999999,0.0014,1.74e-05,1.295e-02,2.407e-09
1,1,1,183,460,1,63,7,710,1.949e-11,0.0014,0.0014,0.0014,0.15606360000000002,0.3914582,0.0014,0.0540876,1.74e-05,1.430e-02,2.190e-09
75,574,1,1,1,57,1,7,710,1.949e-11,0.0642852,0.48833540000000003,0.0014,0.0014,0.0014,0.0489888,0.0014,1.74e-05,1.371e-02,2.164e-09
387,1,11,1,308,1,1,7,710,1.949e-11,0.3294228,0.0014,0.009898,0.0014,0.2622886,0.0014,0.0014,1.74e-05,1.440e-02,2.111e-09
34,1,1,1,91,1,581,7,710,1.949e-11,0.029443399999999998,0.0014,0.0014,0.0014,0.077882,0.0014,0.494284,1.74e-05,1.290e-02,2.317e-09
52,1,144,510,1,1,1,7,710,1.949e-11,0.044739799999999996,0.0014,0.12292140000000001,0.4339482,0.0014,0.0014,0.0014,1.74e-05,1.335e-02,2.175e-09
20,1,1,1,7,679,1,7,710,1.949e-11,0.017546199999999998,0.0014,0.0014,0.0014,0.006498799999999999,0.5775644,0.0014,1.74e-05,1.289e-02,2.407e-09
45,25,636,1,1,1,1,7,710,1.949e-11,0.0387912,0.021795199999999997,0.541023,0.0014,0.0014,0.0014,0.0014,1.74e-05,1.301e-02,2.234e-09
1,1,1,408,256,1,42,7,710,1.949e-11,0.0014,0.0014,0.0014,0.3472686,0.21809900000000002,0.0014,0.0362418,1.74e-05,1.535e-02,2.160e-09
1,1,15,643,1,1,48,7,710,1.949e-11,0.0014,0.0014,0.0132972,0.5469716,0.0014,0.0014,0.041340600000000005,1.74e-05,1.332e-02,2.302e-09
1,232,1,1,1,13,461,7,710,1.949e-11,0.0014,0.1977038,0.0014,0.0014,0.0014,0.0115976,0.392308,1.74e-05,1.322e-02,2.213e-09
1,1,3,20,1,683,1,7,710,1.949e-11,0.0014,0.0014,0.0030995999999999997,0.017546199999999998,0.0014,0.5809635999999999,0.0014,1.74e-05,1.281e-02,2.410e-09
19,1,1,621,66,1,1,7,710,1.949e-11,0.0166964,0.0014,0.0014,0.528276,0.056637,0.0014,0.0014,1.74e-05,1.342e-02,2.271e-09
1,26,223,457,1,1,1,7,710,1.949e-11,0.0014,0.022645,0.1900556,0.3889088,0.0014,0.0014,0.0014,1.74e-05,1.395e-02,2.153e-09
204,1,465,37,1,1,1,7,710,1.949e-11,0.17390940000000002,0.0014,0.3957072,0.0319928,0.0014,0.0014,0.0014,1.74e-05,1.397e-02,2.107e-09
18,1,168,1,1,520,1,7,710,1.949e-11,0.015846600000000002,0.0014,0.1433166,0.0014,0.0014,0.4424462,0.0014,1.74e-05,1.321e-02,2.232e-09
1,1,590,40,1,1,76,7,710,1.949e-11,0.0014,0.0014,0.5019321999999999,0.0345422,0.0014,0.0014,0.06513500000000001,1.74e-05,1.401e-02,2.228e-09
49,450,1,1,1,207,1,7,710,1.949e-11,0.042190399999999996,0.3829602,0.0014,0.0014,0.0014,0.1764588,0.0014,1.74e-05,1.464e-02,2.122e-09
1,459,1,3,244,1,1,7,710,1.949e-11,0.0014,0.39060839999999997,0.0014,0.0030995999999999997,0.2079014,0.0014,0.0014,1.74e-05,1.482e-02,2.132e-09
1,1,1,387,1,262,57,7,710,1.949e-11,0.0014,0.0014,0.0014,0.3294228,0.0014,0.2231978,0.0489888,1.74e-05,1.534e-02,2.180e-09
58,468,180,1,1,1,1,7,710,1.949e-11,0.049838600000000004,0.3982566,0.15351420000000002,0.0014,0.0014,0.0014,0.0014,1.74e-05,1.477e-02,2.103e-09
555,1,14,137,1,1,1,7,710,1.949e-11,0.4721892,0.0014,0.0124474,0.11697280000000002,0.0014,0.0014,0.0014,1.74e-05,1.441e-02,2.119e-09
1,62,323,1,321,1,1,7,710,1.949e-11,0.0014,0.0532378,0.2750356,0.0014,0.27333599999999997,0.0014,0.0014,1.74e-05,1.463e-02,2.130e-09
213,1,1,1,456,37,1,7,710,1.949e-11,0.1815576,0.0014,0.0014,0.0014,0.388059,0.0319928,0.0014,1.74e-05,1.366e-02,2.153e-09
1,1,607,1,74,1,25,7,710,1.949e-11,0.0014,0.0014,0.5163787999999999,0.0014,0.0634354,0.0014,0.021795199999999997,1.74e-05,1.382e-02,2.230e-09
