Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
808,1,1,1,117,1,1,7,930,2.1999999999999998e-11,0.6871885999999999,0.0014,0.0014,0.0014,0.09997680000000002,0.0014,0.0014,2.3709999999999998e-05,1.580e-02,2.125e-09
350,1,541,1,1,35,1,7,930,2.1999999999999998e-11,0.2979802,0.0014,0.460292,0.0014,0.0014,0.0302932,0.0014,2.3709999999999998e-05,1.640e-02,2.010e-09
36,656,1,1,234,1,1,7,930,2.1999999999999998e-11,0.031142999999999997,0.558019,0.0014,0.0014,0.1994034,0.0014,0.0014,2.3709999999999998e-05,1.690e-02,2.071e-09
1,45,1,1,871,1,10,7,930,2.1999999999999998e-11,0.0014,0.0387912,0.0014,0.0014,0.740726,0.0014,0.0090482,2.3709999999999998e-05,1.442e-02,2.309e-09
1,1,387,525,1,1,14,7,930,2.1999999999999998e-11,0.0014,0.0014,0.3294228,0.4466952,0.0014,0.0014,0.0124474,2.3709999999999998e-05,1.667e-02,2.066e-09
40,262,1,1,624,1,1,7,930,2.1999999999999998e-11,0.0345422,0.2231978,0.0014,0.0014,0.5308254,0.0014,0.0014,2.3709999999999998e-05,1.492e-02,2.086e-09
1,376,508,1,1,42,1,7,930,2.1999999999999998e-11,0.0014,0.320075,0.4322486,0.0014,0.0014,0.0362418,0.0014,2.3709999999999998e-05,1.700e-02,2.008e-09
1,1,851,1,1,67,8,7,930,2.1999999999999998e-11,0.0014,0.0014,0.72373,0.0014,0.0014,0.0574868,0.007348599999999999,2.3709999999999998e-05,1.523e-02,2.220e-09
1,1,234,675,1,17,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.1994034,0.5741652,0.0014,0.014996800000000001,0.0014,2.3709999999999998e-05,1.532e-02,2.120e-09
809,76,1,41,1,1,1,7,930,2.1999999999999998e-11,0.6880384,0.06513500000000001,0.0014,0.035392,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.558e-02,2.097e-09
566,1,1,46,1,314,1,7,930,2.1999999999999998e-11,0.481537,0.0014,0.0014,0.039640999999999996,0.0014,0.26738739999999994,0.0014,2.3709999999999998e-05,1.683e-02,2.021e-09
634,1,33,1,1,1,259,7,930,2.1999999999999998e-11,0.5393234,0.0014,0.0285936,0.0014,0.0014,0.0014,0.22064840000000002,2.3709999999999998e-05,1.665e-02,2.042e-09
758,146,1,1,1,22,1,7,930,2.1999999999999998e-11,0.6446986,0.12462100000000001,0.0014,0.0014,0.0014,0.0192458,0.0014,2.3709999999999998e-05,1.612e-02,2.060e-09
77,1,35,1,1,814,1,7,930,2.1999999999999998e-11,0.06598480000000001,0.0014,0.0302932,0.0014,0.0014,0.6922874,0.0014,2.3709999999999998e-05,1.418e-02,2.270e-09
692,1,1,229,1,1,5,7,930,2.1999999999999998e-11,0.5886118,0.0014,0.0014,0.1951544,0.0014,0.0014,0.0047992,2.3709999999999998e-05,1.686e-02,2.053e-09
20,1,315,1,1,591,1,7,930,2.1999999999999998e-11,0.017546199999999998,0.0014,0.26823719999999995,0.0014,0.0014,0.502782,0.0014,2.3709999999999998e-05,1.525e-02,2.108e-09
1,4,1,1,1,423,499,7,930,2.1999999999999998e-11,0.0014,0.0039494,0.0014,0.0014,0.0014,0.36001559999999994,0.4246004,2.3709999999999998e-05,1.672e-02,2.184e-09
264,1,1,627,1,1,35,7,930,2.1999999999999998e-11,0.2248974,0.0014,0.0014,0.5333747999999999,0.0014,0.0014,0.0302932,2.3709999999999998e-05,1.543e-02,2.064e-09
1,557,44,325,1,1,1,7,930,2.1999999999999998e-11,0.0014,0.4738888,0.0379414,0.27673519999999996,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.741e-02,2.028e-09
884,35,1,7,1,1,1,7,930,2.1999999999999998e-11,0.7517733999999999,0.0302932,0.0014,0.006498799999999999,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.482e-02,2.177e-09
